SMS,Nasty Words,Commercial Words,Phone Number,Address Words,Numbers,Class
"go until jurong point, crazy.. available only in bugis n great world la e buffet... cine there got amore wat...",0,1,0,0,0,0
ok lar... joking wif u oni...,0,1,0,0,0,0
free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's,0,1,0,1,1,1
u dun say so early hor... u c already then say...,0,1,0,0,0,0
"nah i don't think he goes to usf, he lives around here though",0,1,0,0,0,0
"freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, £1.50 to rcv",1,1,0,1,1,1
even my brother is not like to speak with me. they treat me like aids patent.,0,1,0,1,0,0
as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,0,1,0,1,1,0
winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,0,1,0,1,1,1
had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,1,1,0,1,1,1
"i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today.",0,1,0,1,0,0
"six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info",0,1,0,1,1,1
"urgent! you have won a 1 week free membership in our £100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18",0,1,0,1,1,1
i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.,0,1,0,0,0,0
i have a date on sunday with will!!,0,1,0,0,0,0
"xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> http://wap.xxxmobilemovieclub.com?n=qjkgighjjgcbl",1,1,0,1,0,1
oh k...i'm watching here:),0,1,0,0,0,0
eh u remember how 2 spell his name... yes i did. he v naughty make until i v wet.,0,1,0,1,1,0
fine if thats the way u feel. thats the way its gota b,0,1,0,0,0,0
"england v macedonia - dont miss the goals/team news. txt ur national team to 87077 eg england to 87077 try:wales, scotland 4txt/ú1.20 poboxox36504w45wq 16+",0,1,0,0,1,1
is that seriously how you spell his name?,0,1,0,0,0,0
i‘m going to try for 2 months ha ha only joking,0,1,0,0,1,0
so ü pay first lar... then when is da stock comin...,0,1,0,1,0,0
aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?,0,1,0,1,1,0
ffffffffff. alright no way i can meet up with you sooner?,0,1,0,1,0,0
just forced myself to eat a slice. i'm really not hungry tho. this sucks. mark is getting worried. he knows i'm sick when i turn down pizza. lol,0,1,0,1,0,0
lol your always so convincing.,0,1,0,0,0,0
did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?,0,1,0,0,0,0
"i'm back &amp; we're packing the car now, i'll let you know if there's room",0,1,0,1,0,0
ahhh. work. i vaguely remember that! what does it feel like? lol,0,1,0,0,0,0
"wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,1,0,1,0,0
yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. till 2! but we won't go there! not doing too badly cheers. you? ,0,1,0,1,1,0
k tell me anything about you.,0,0,0,0,0,0
for fear of fainting with the of all that housework you just did? quick have a cuppa,0,1,0,1,0,0
thanks for your subscription to ringtone uk your mobile will be charged £5/month please confirm by replying yes or no. if you reply no you will not be charged,0,1,0,1,1,1
yup... ok i go home look at the timings then i msg ü again... xuhui going to learn on 2nd may too but her lesson is at 8am,0,1,0,1,1,0
"oops, i'll let you know when my roommate's done",0,1,0,1,0,0
i see the letter b on my car,0,1,0,0,0,0
anything lor... u decide...,0,1,0,1,0,0
hello! how's you and how did saturday go? i was just texting to see if you'd decided to do anything tomo. not that i'm trying to invite myself or anything!,1,1,0,1,0,0
pls go ahead with watts. i just wanted to be sure. do have a great weekend. abiola,0,1,0,1,0,0
"did i forget to tell you ? i want you , i need you, i crave you ... but most of all ... i love you my sweet arabian steed ... mmmmmm ... yummy",0,1,0,1,0,0
07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow,0,1,0,1,1,1
who are you seeing?,0,1,0,0,0,0
great! i hope you like your man well endowed. i am  &lt;#&gt;  inches...,0,1,0,0,0,0
no calls..messages..missed calls,0,1,0,1,0,0
didn't you get hep b immunisation in nigeria.,0,1,0,0,0,0
"fair enough, anything going on?",0,1,0,1,0,0
"yeah hopefully, if tyler can't do it i could maybe ask around a bit",0,1,0,1,0,0
u don't know how stubborn i am. i didn't even want to go to the hospital. i kept telling mark i'm not a weak sucker. hospitals are for weak suckers.,0,1,0,1,0,0
what you thinked about me. first time you saw me in class.,1,1,0,1,0,0
"a gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,1,0,1,0,0
k fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,1,0,0,0,0
"wow. i never realized that you were so embarassed by your accomodations. i thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". i'm sorry i didn't and don't have more to give. i'm sorry i offered. i'm sorry your room was so embarassing.",1,1,0,1,0,0
sms. ac sptv: the new jersey devils and the detroit red wings play ice hockey. correct or incorrect? end? reply end sptv,0,1,0,0,0,1
do you know what mallika sherawat did yesterday? find out now @  &lt;url&gt;,0,1,0,1,0,0
"congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out! ",1,1,0,1,1,1
"sorry, i'll call later in meeting.",0,1,0,0,0,0
tell where you reached,0,1,0,0,0,0
yes..gauti and sehwag out of odi series.,0,1,0,0,0,0
your gonna have to pick up a $1 burger for yourself on your way home. i can't even move. pain is killing me.,0,1,0,0,1,0
ha ha ha good joke. girls are situation seekers.,0,1,0,0,0,0
its a part of checking iq,0,1,0,0,0,0
"sorry my roommates took forever, it ok if i come by now?",0,1,0,1,0,0
ok lar i double check wif da hair dresser already he said wun cut v short. he said will cut until i look nice.,0,1,0,0,0,0
"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589",0,1,0,1,1,1
"today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me...",0,1,0,1,0,0
"urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or £1000. to claim txt dis to 87121 18+6*£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj",0,1,0,1,1,1
"did you hear about the new ""divorce barbie""? it comes with all of ken's stuff!",0,1,0,1,0,1
i plane to give on this month end.,0,0,0,0,0,0
wah lucky man... then can save money... hee...,0,1,0,0,0,0
finished class where are you.,1,1,0,0,0,0
hi babe im at home now wanna do something? xx,1,1,0,1,0,0
k..k:)where are you?how did you performed?,0,1,0,0,0,0
u can call me now...,0,1,0,1,0,0
i am waiting machan. call me once you free.,0,1,0,0,0,0
thats cool. i am a gentleman and will treat you with dignity and respect.,0,1,0,0,0,0
i like you peoples very much:) but am very shy pa.,0,1,0,0,0,0
does not operate after  &lt;#&gt;  or what,0,1,0,1,0,0
its not the same here. still looking for a job. how much do ta's earn there.,0,1,0,1,0,0
"sorry, i'll call later",0,1,0,0,0,0
k. did you call me just now ah? ,0,1,0,1,0,0
ok i am on the way to home hi hi,0,0,0,0,0,0
you will be in the place of that man,0,0,0,0,0,0
yup next stop.,0,0,0,1,0,0
"i call you later, don't have network. if urgnt, sms me.",0,1,0,1,0,0
for real when u getting on yo? i only need 2 more tickets and one more jacket and i'm done. i already used all my multis.,0,1,0,0,1,0
yes i started to send requests to make it but pain came back so i'm back in bed. double coins at the factory too. i gotta cash in all my nitros.,0,1,0,1,0,0
i'm really not up to it still tonight babe,0,1,0,1,0,0
"ela kano.,il download, come wen ur free..",0,1,0,1,0,0
yeah do! don‘t stand to close tho- you‘ll catch something!,0,0,0,1,0,0
sorry to be a pain. is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. sorry. ,0,1,0,1,1,0
smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!,0,1,0,1,1,0
please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!,0,1,0,1,1,1
havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?,0,1,0,1,1,0
"your free ringtone is waiting to be collected. simply text the password ""mix"" to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16",1,1,0,0,1,1
watching telugu movie..wat abt u?,0,0,0,0,0,0
i see. when we finish we have loads of loans to pay,0,1,0,0,0,0
